127.0.0.1 - - [14/Jun/2021:08:53:11 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Jun/2021:08:53:13 +0530] "GET /restAssignment/ HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [14/Jun/2021:08:53:20 +0530] "GET /restAssignment/webjars/springfox-swagger-ui/swagger-ui.css?v=2.9.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:08:53:20 +0530] "GET /restAssignment/webjars/springfox-swagger-ui/springfox.css?v=2.9.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:08:53:20 +0530] "GET /restAssignment/webjars/springfox-swagger-ui/springfox.js?v=2.9.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:08:53:20 +0530] "GET /restAssignment/webjars/springfox-swagger-ui/swagger-ui-bundle.js?v=2.9.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:08:53:20 +0530] "GET /restAssignment/webjars/springfox-swagger-ui/swagger-ui-standalone-preset.js?v=2.9.2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:08:53:21 +0530] "GET /restAssignment/swagger-resources/configuration/ui HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [14/Jun/2021:08:53:21 +0530] "GET /restAssignment/swagger-resources/configuration/security HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [14/Jun/2021:08:53:21 +0530] "GET /restAssignment/swagger-resources HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [14/Jun/2021:08:53:21 +0530] "GET /restAssignment/ HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [14/Jun/2021:08:53:21 +0530] "GET /restAssignment/csrf HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jun/2021:08:53:21 +0530] "GET /restAssignment/webjars/springfox-swagger-ui/fonts/titillium-web-v6-latin-700.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:08:53:21 +0530] "GET /restAssignment/v2/api-docs HTTP/1.1" 200 5783
0:0:0:0:0:0:0:1 - - [14/Jun/2021:08:53:21 +0530] "GET /restAssignment/webjars/springfox-swagger-ui/fonts/open-sans-v15-latin-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:08:53:21 +0530] "GET /restAssignment/webjars/springfox-swagger-ui/fonts/open-sans-v15-latin-700.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2021:08:53:21 +0530] "GET /restAssignment/webjars/springfox-swagger-ui/fonts/source-code-pro-v7-latin-300.woff2 HTTP/1.1" 304 -
